Concertation,Débat,Contribution collective,Nombre de participants,user-id,Age,Quartier,Contenu
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","","","56e1550d0a0ec8392df2f49c",,,"Vivement la rénovation urbaine"
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","Atelier contributif des écoles maternelles et primaires Balzac","18","56e83bd8b93adfe021fd75ff","40-44 ans","Centre","Il a été dit qu'il faudrait un musée sur Nanterre, qui parle des Parisii, les Mérovingiens, les bidonvilles, l'industrialisation, les artisans, Mai 68 ... pourquoi pas dans les nouveaux locaux du musée de la BDIC (bibliothèque de documentation internationale contemporaine) ?  Il pourrait aussi accueillir les artistes de Nanterre."
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","Atelier contributif des écoles maternelles et primaires Balzac","18","56e83bd8b93adfe021fd75ff","40-44 ans","Centre","La maman de Yacine se demande s'il y aura aussi des écoles dans tous ces nouveaux quartiers où de nombreux logements sortent de terre. Y en aura-t-il suffisamment et aussi des collèges ?"
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","Atelier contributif des écoles maternelles et primaires Balzac","18","56e83bd8b93adfe021fd75ff","40-44 ans","Centre","Le papa de Lubna trouve qu'il n'y a pas assez de magasins en bas des immeubles nouveaux."
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","Atelier contributif des écoles maternelles et primaires Balzac","18","56e83bd8b93adfe021fd75ff","40-44 ans","Centre","Plusieurs parents aimeraient qu'il y ait plus d'espaces verts avec tous ces immeubles qui sont construits."
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","",,"56eae73b8b36510a51ad445c","45-49 ans","Université","Bonsoir, habitante du quartier Anatole France, j'ai hâte que la rue Anatole France soit ouverte à la circulation routière pour qu'enfin le quartier sorte de son îlot. La route est pourtant aménagée mais les véhicules sont toujours interdits à la circulation. Des nouveaux trajets en bus sont ils également prévus dans cette rue svp ? Ce quartier a besoin d'être irrigué par des flux. Merci de votre attention. Sandrine"
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","",,"56ec41888b36510a51ad4488",,,"Un professionnel de santé qui travaille à Nanterre : ""Nanterre construit trop de logements tout le temps partout. ils veulent passer la barre des 100 000 habitants c'est flagrant."""
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","",,"56ec41888b36510a51ad4488",,,"Une habitante du quartier du chemin de l'île : ""La ville suit bien (globalement) l'évolution moyenne des autres ville de France. Ex : rénovations, réparations de chaussées, équipement en fibre optique ...etc."""
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","Nanterre en réseaux Réunion d’appartement chez M. Pascal SENEN (Petit-Nanterre) 11 mars 2016","20","56ec41888b36510a51ad4488",,,"Deux jeunes habitants du quartier sont venus expliquer leur situation actuelle, ce qui a permis de faire avancer le débat. L’un est auto-entrepreneur, et cherche à développer son activité de transport de personnes. L’autre a tous ses diplômes en poche mais n’arrive pour l’instant pas à décrocher un travail dans sa branche. Comment répondre à ces deux situations ? Comment favoriser l’emploi des Nanterriens à Nanterre ?
 
-	Un réseau d’entreprises nanterriennes : l’idée émerge au cours du débat de favoriser la création d’un réseau d’entreprises nanterriennes, de toutes tailles, qui permettrait à certaines de répondre aux besoins d’autres, et de favoriser ainsi l’activité économique à l’intérieur de la ville.

-	Favoriser l’emploi des Nanterriens dans la ville : Patrick JARRY rappelle que, dans le cadre des nombreux chantiers que connaît Nanterre, des chartes sont signées avec les promoteurs pour y introduire un quota d’heures d’insertion, comme par exemple pour le chantier de l’Arena (100.000 heures d’insertion). Il rappelle également que, si la Ville incite les entreprises qui s’installent à Nanterre à embaucher des Nanterienes, on ne peut légalement leur réserver des postes. On doit cependant pouvoir aller encore plus loin dans ce domaine.

-	Un des jeunes habitants fait également part de la situation d’un ami, diplômé en informatique, mais qui ne trouve pas de travail. Un des habitants présents s’y intéresse, car il travaille justement dans ce domaine, et son entreprise cherche régulièrement à embaucher. De cette discussion naît l’idée de créer un réseau des Nanterriens pour l’emploi, afin que ceux qui connaissent des entreprises, des secteurs particuliers qui embauchent, puissent orienter ceux qui sont en recherche d’emploi.

La solidarité comme acteur fort, la nécessité de se mobiliser pour sauver l’Hôpital, mettre les Nanterriens en réseau, que ce soit pour les entreprises ou les particuliers, telles ont été les propositions qui ont émergé au cours de la soirée. Certaines d’entre elles rejoignent  d’ailleurs les engagements du mandat."
"Assises pour la ville 2016","1. Comment les grands chantiers et projets changent-ils Nanterre et tous ses quartiers ?","projet Grand Paris Place de la Boule",,"56f6f1a470d796ee13bd1756","30-34 ans","La Boule Champs-Pierreux","Commerçante Place de la Boule: de très beau projet à venir à Place de la Boule à Nanterre, mais malheureusement pas tout de suite( 15 ANS minimum).
En attendant, de gros problème de stationnements se présentent et les commerces ont du mal à faire face aux clients qui régulièrement ne veulent plus venir dans nos commerces pas manque de places et d'amendes.
Manque d'information sur l'avancé des travaux en cours et à venir. la mairie se doit d'entretenir un dialogue avec les commerçants de la Place de la Boule et de l'avenue Georges Clemenceau, on ne doit pas se retrouver sans cesse sous le fait accomplie des travaux en cours. Nous sommes ouvert aux dialogues et aux propositions de solutions provisoires en attendant le projet  Grand Paris."
